cand id	BERTScore_F1	BERTScore_P	BERTScore_R	bert_s+wms	bert_sms	bert_wms	BLEU	elmo_s+wms	elmo_sms	elmo_wms	glove_s+wms	glove_sms	glove_wms	ROUGE-1	ROUGE-2	ROUGE-L	SentBERT	score
7495	0.831726	0.84248835	0.8212352	1.23E-05	0.000161344	9.25E-07	0.08939277	3.21E-06	0.000172919	5.95E-08	0.014188339	0.051872958	0.003820171	0.26332288	0.031545737	0.238938049	6.04E-10	2
7498	0.80801195	0.79770446	0.8185893	1.34E-05	0.000201427	8.92E-07	0.084918341	4.10E-06	0.000231226	7.26E-08	0.016514885	0.067832983	0.003997643	0.247678014	0.024922114	0.16593886	2.60E-10	2
7502	0.8331932	0.83575785	0.83064413	1.89E-05	0.000302008	1.19E-06	0.164858548	7.28E-06	0.000361479	1.46E-07	0.024482641	0.093103437	0.006437373	0.3131991	0.040449433	0.212765952	8.21E-10	3
7503	0.82369334	0.82718194	0.8202341	1.62E-05	0.000233131	1.13E-06	0.152721882	6.62E-06	0.000430558	1.02E-07	0.022331973	0.102044042	0.004859671	0.319796949	0.035714281	0.227450976	6.39E-10	3
7504	0.8361856	0.82995003	0.8425155	1.60E-05	0.000251673	1.01E-06	0.16567401	6.78E-06	0.000409093	1.12E-07	0.025062095	0.094177758	0.006650261	0.304439741	0.033970271	0.217252391	8.86E-10	3
7505	0.8283387	0.82864285	0.82803476	8.27E-06	0.000139015	4.90E-07	0.138325624	3.60E-06	0.000220981	5.88E-08	0.016422918	0.072698922	0.003693295	0.277227718	0.009950244	0.197802193	2.89E-10	3
7506	0.81213075	0.8177372	0.8066005	5.99E-06	0.000107016	3.34E-07	0.066226461	3.02E-06	0.000211039	4.27E-08	0.013938176	0.067835118	0.002839764	0.238709673	0.019480515	0.17061611	1.23E-10	1
7510	0.8209398	0.82247084	0.81941444	1.92E-05	0.000311492	1.19E-06	0.05389904	4.58E-06	0.000293485	7.16E-08	0.017516885	0.088074154	0.003483898	0.196721307	0.039603956	0.142180091	6.43E-10	2
7512	0.7999675	0.79115367	0.80898	1.07E-05	0.000231873	4.95E-07	0.093493501	2.18E-08	3.07E-07	1.54E-09	0.019200799	0.077515993	0.004732049	0	0	0	4.99E-10	2
7514	0.8211822	0.81964296	0.8227272	1.40E-05	0.00021408	8.88E-07	0.170133763	5.08E-06	0.000382896	6.62E-08	0.023359004	0.109528734	0.004969267	0.314009657	0.048543684	0.199999995	7.35E-10	3
7515	0.8308287	0.83035386	0.8313042	9.10E-06	0.000143576	5.77E-07	0.165662569	4.35E-06	0.000232207	8.16E-08	0.021921681	0.083605393	0.005746584	0.281249995	0.03664921	0.207692303	1.08E-09	2
7516	0.8290447	0.83378625	0.8243568	1.10E-05	0.000173543	6.93E-07	0.123893352	4.47E-06	0.000270203	7.35E-08	0.016241635	0.0699497	0.003730195	0.269230764	0.011049719	0.233870963	1.17E-09	3
7517	0.83162874	0.85629684	0.80834216	9.18E-06	8.94E-05	9.31E-07	0.002067633	3.30E-06	0.000113469	9.22E-08	0.014094952	0.056356155	0.003371587	0.145161288	0.024390242	0.13407821	2.37E-10	1
7518	0.8279747	0.84694374	0.80983657	9.43E-06	0.000161616	5.48E-07	0.027152805	2.04E-06	0.000120303	3.46E-08	0.013833857	0.063552864	0.003011226	0.177935939	0.028673831	0.134715022	4.76E-10	1
7519	0.8162677	0.8072558	0.8254832	1.63E-05	0.000215674	1.22E-06	0.092398705	6.20E-06	0.000430942	8.84E-08	0.020176006	0.096884806	0.00416121	0.202816897	0.01133144	0.158730154	5.49E-10	2
7521	0.8354664	0.8416701	0.82935333	1.33E-05	0.000192855	9.21E-07	0.111429323	6.36E-06	0.000425668	9.44E-08	0.022007884	0.091553113	0.005262521	0.272463763	0.017492707	0.178137647	1.47E-09	3
7522	0.8284607	0.83315647	0.82381755	8.27E-06	0.000127172	5.34E-07	0.097308453	4.24E-06	0.000295498	6.08E-08	0.017719389	0.07411076	0.004217245	0.232558135	0.017543855	0.183406109	8.64E-10	2
7523	0.84256756	0.8519014	0.833436	1.69E-05	0.000229507	1.25E-06	0.105825287	6.84E-06	0.000304711	1.52E-07	0.019845223	0.073282209	0.005314932	0.266666662	0.024390239	0.171673815	1.81E-10	2
7525	0.8282223	0.8393175	0.8174165	1.15E-05	0.000159539	8.22E-07	0.029392127	2.63E-06	0.000138904	4.98E-08	0.013302203	0.056785921	0.003072713	0.174825171	0.02816901	0.159203976	1.95E-10	2
7526	0.8215899	0.823791	0.81940037	1.36E-05	0.000231812	7.94E-07	0.122980923	4.74E-06	0.000355551	6.33E-08	0.021151801	0.100973663	0.00442615	0.279329604	0.028089883	0.165217387	3.15E-10	3
7528	0.8316733	0.83705443	0.82636094	9.83E-06	0.000173181	5.58E-07	0.148118836	6.25E-06	0.000564223	6.92E-08	0.021550231	0.099625002	0.004661606	0.342245984	0.03225806	0.204918028	4.13E-10	3
7531	0.83323973	0.84361196	0.8231196	9.32E-06	0.000163268	5.31E-07	0.052162037	4.05E-06	0.000252308	6.48E-08	0.012770205	0.063490801	0.002560232	0.218543042	0.033333329	0.191387556	4.54E-10	1
7532	0.8279462	0.8446947	0.8118489	1.03E-05	0.000183711	5.82E-07	0.048079725	2.83E-06	0.000181797	4.41E-08	0.015619398	0.074744124	0.003248617	0.249999996	0.013605438	0.142131976	1.19E-10	1
7533	0.8327253	0.84180164	0.8238426	1.63E-05	0.000311888	8.51E-07	0.100300104	5.13E-06	0.000357439	7.35E-08	0.019303953	0.084647295	0.004390895	0.263473049	0.024096381	0.177777773	2.43E-10	2
7534	0.844034	0.8495327	0.8386061	2.72E-05	0.000481628	1.54E-06	0.194536612	7.29E-06	0.000439703	1.21E-07	0.024562248	0.090568591	0.006658609	0.336538457	0.03381642	0.199233712	1.44E-09	3
7535	0.8223591	0.8349273	0.8101636	5.11E-06	6.55E-05	3.97E-07	0.027459308	1.83E-06	7.25E-05	4.51E-08	0.015355546	0.05401715	0.004290553	0.214285711	0.02158273	0.134020615	1.63E-10	1
7537	0.840318	0.8549998	0.82613194	1.06E-05	0.000187272	5.95E-07	0.058021428	3.53E-06	0.000237267	5.25E-08	0.018766247	0.08011767	0.004390916	0.196078427	0.019736838	0.182648398	2.75E-10	1
7538	0.8351014	0.84321904	0.82713866	8.68E-06	0.00015067	4.98E-07	0.08140914	3.73E-06	0.000238438	5.84E-08	0.018565824	0.080384963	0.004276943	0.259259255	0.031055896	0.225108221	1.09E-10	2
7539	0.82896537	0.83188814	0.82606304	1.94E-05	0.000255173	1.45E-06	0.156362956	5.46E-06	0.00029765	1.00E-07	0.024071579	0.094462699	0.006060496	0.295918362	0.01538461	0.195312495	1.01E-09	3
7541	0.8406106	0.85336137	0.8282354	1.18E-05	0.000184539	7.49E-07	0.054548607	3.12E-06	0.000168094	5.78E-08	0.018030151	0.072374468	0.004490785	0.238410592	0.019999996	0.169811317	1.05E-09	2
7542	0.8430644	0.85074735	0.835519	1.75E-05	0.000289965	1.05E-06	0.151304163	7.29E-06	0.000416802	1.28E-07	0.023523931	0.102806457	0.005380112	0.321329635	0.03899721	0.229249007	4.87E-10	3
7543	0.83152026	0.8317701	0.8312705	1.66E-05	0.000215091	1.27E-06	0.183698773	6.32E-06	0.000289833	1.38E-07	0.026589871	0.089890823	0.007851257	0.303921564	0.019704429	0.241992878	4.59E-10	3
7544	0.8341168	0.8370529	0.83120143	1.95E-05	0.000450071	8.45E-07	0.123909473	6.80E-06	0.000655747	7.06E-08	0.01810987	0.10245132	0.003195719	0.297752804	0.022598865	0.14342629	1.42E-10	1
7545	0.829893	0.8292608	0.8305261	1.72E-05	0.000334629	8.78E-07	0.165557978	7.00E-06	0.000608934	8.05E-08	0.022395118	0.104582118	0.004789578	0.325814531	0.030226695	0.2051282	5.79E-10	3
7546	0.8261573	0.82339084	0.8289424	1.46E-05	0.000280001	7.64E-07	0.140429874	4.93E-06	0.000404465	6.01E-08	0.019193751	0.095994844	0.003815933	0.251231522	0.029702965	0.182456135	8.45E-10	3
7547	0.8307264	0.83129525	0.8301583	1.63E-05	0.00025981	1.03E-06	0.147661704	5.09E-06	0.000365035	7.10E-08	0.023164909	0.096322617	0.005570224	0.284153001	0.032967028	0.186770423	5.05E-10	3
7548	0.84335166	0.8468642	0.8398682	1.79E-05	0.00032646	9.74E-07	0.174976757	7.70E-06	0.00050127	1.18E-07	0.026823252	0.103576125	0.006945772	0.337874655	0.049315064	0.226720643	7.03E-10	3
7549	0.8264109	0.8283897	0.8244415	9.24E-06	0.000192562	4.43E-07	0.102255727	3.03E-06	0.000249598	3.66E-08	0.017329913	0.092179856	0.003230883	0.252100836	0.016901404	0.162162157	1.46E-10	1
7551	0.8336674	0.845472	0.822188	1.25E-05	0.000201261	7.80E-07	0.082347816	5.62E-06	0.000380583	8.27E-08	0.022303825	0.089981396	0.005518815	0.248484844	0.012195117	0.190909087	3.90E-10	2
7552	0.8295448	0.84351265	0.816032	9.16E-06	0.00013406	6.25E-07	0.013977374	3.27E-06	0.000205199	5.19E-08	0.014012118	0.06775808	0.00283514	0.16356877	0.01498127	0.14358974	2.04E-10	1
7553	0.83159804	0.8363326	0.8269167	1.22E-05	0.00022214	6.64E-07	0.075490974	4.52E-06	0.000251671	8.11E-08	0.018172542	0.081788357	0.00400052	0.208201888	0.04444444	0.175438592	9.03E-10	2
7556	0.8229709	0.8333588	0.8128389	8.19E-06	0.000140383	4.76E-07	0.048510228	3.21E-06	0.000292914	3.51E-08	0.015928982	0.078089824	0.003240333	0.184210522	0.013245029	0.161137437	1.75E-10	2
7557	0.827787	0.84426373	0.81194097	4.34E-06	7.07E-05	2.65E-07	0.030973362	1.00E-06	8.55E-05	1.17E-08	0.013895884	0.064235703	0.003005957	0.212765954	0.014285711	0.214634142	1.24E-10	1
7560	0.8081546	0.812797	0.80356485	8.22E-06	0.000157797	4.27E-07	0.065371428	2.89E-06	0.000193045	4.31E-08	0.014695424	0.071023268	0.003028782	0.209230765	0.024767797	0.150234738	1.38E-10	2
7561	0.8366366	0.83980876	0.83348835	1.94E-05	0.000299744	1.24E-06	0.12535386	6.95E-06	0.000347621	1.34E-07	0.024396823	0.092808168	0.006282	0.293628804	0.033426179	0.193050188	8.09E-10	3
7563	0.8282824	0.82566565	0.8309158	1.31E-05	0.000228149	7.52E-07	0.143190103	6.08E-06	0.000456275	8.08E-08	0.024097953	0.110781625	0.005238331	0.301587297	0.021276591	0.208178434	8.11E-10	3
7564	0.82133275	0.8354394	0.80769455	1.03E-05	0.000211878	5.03E-07	0.039919577	2.88E-06	0.000219571	3.78E-08	0.017826629	0.078419948	0.004041282	0.172757471	0.013377922	0.173076919	5.55E-10	2
7566	0.8312582	0.84526086	0.817712	6.20E-06	9.05E-05	4.16E-07	0.019836703	2.89E-06	0.000161825	5.17E-08	0.012809817	0.051068218	0.003146809	0.197802194	0.014760144	0.172588829	6.82E-10	1
7567	0.82922757	0.8390124	0.81966835	7.78E-06	0.000121232	4.98E-07	0.080333817	2.43E-06	0.000156789	3.70E-08	0.015831965	0.072067113	0.003407131	0.26582278	0.025477703	0.184331793	6.28E-10	2
7568	0.8270691	0.8286315	0.82551265	1.41E-05	0.000259474	7.57E-07	0.104921002	4.30E-06	0.000317759	5.82E-08	0.01745322	0.086082669	0.003537988	0.255072459	0.02332361	0.158995811	3.42E-10	2
7570	0.8375373	0.85170805	0.8238304	1.23E-05	0.000217206	6.97E-07	0.09392943	4.18E-06	0.00025015	6.99E-08	0.022595834	0.087635625	0.005819324	0.284829717	0.018691584	0.187793423	4.20E-10	2
7571	0.8333963	0.84295523	0.8240519	9.18E-06	0.000143886	5.83E-07	0.152230951	3.54E-06	0.00017114	7.30E-08	0.018210944	0.069111409	0.004728384	0.304123706	0.025906731	0.210084029	4.73E-10	3
7572	0.8281547	0.8315593	0.8247779	9.37E-06	0.000155992	5.62E-07	0.127754463	2.44E-06	0.000168637	3.51E-08	0.016155527	0.074780166	0.003490236	0.272980497	0.0280112	0.188841197	4.70E-10	2
7573	0.829373	0.84795266	0.81159	5.27E-06	8.61E-05	3.21E-07	0.024909085	2.23E-06	0.000129247	3.83E-08	0.012313331	0.054468855	0.002777282	0.210144924	0.021897807	0.180851061	9.95E-11	1
7574	0.8410815	0.8445648	0.837627	1.15E-05	0.000239093	5.48E-07	0.131495323	4.50E-06	0.000315511	6.43E-08	0.021487578	0.091496967	0.005043566	0.269841265	0.021276591	0.196969692	1.21E-09	3
7576	0.82933605	0.8360599	0.82271945	9.81E-06	0.000180985	5.30E-07	0.069444914	4.42E-06	0.000296052	6.61E-08	0.02087152	0.084314312	0.005166621	0.280130289	0.032786881	0.199999996	5.62E-10	2
7578	0.84231484	0.84986544	0.8348973	2.19E-05	0.000355299	1.34E-06	0.153501135	5.95E-06	0.000347084	1.02E-07	0.026575205	0.107218619	0.006586933	0.270833328	0.03664921	0.152671751	6.44E-10	3
7579	0.8302982	0.82667637	0.8339518	1.23E-05	0.000205945	7.32E-07	0.144239424	4.56E-06	0.000311876	6.68E-08	0.020804435	0.088698183	0.004870748	0.263959386	0.015306117	0.215053758	2.66E-10	2
7580	0.8218461	0.8325192	0.8114433	7.68E-06	0.000101079	5.76E-07	0.032204453	2.40E-06	8.86E-05	6.50E-08	0.016909394	0.056410625	0.004979504	0.235714282	0.043165464	0.199004971	1.45E-10	2
7582	0.83130777	0.8455156	0.81756943	9.57E-06	0.000150799	6.07E-07	0.062375274	3.06E-06	0.000178421	5.19E-08	0.018641435	0.070439048	0.004896655	0.247556999	0.01311475	0.175925922	2.06E-10	2
7583	0.8335132	0.83138555	0.8356519	1.28E-05	0.000199782	8.18E-07	0.141289429	5.36E-06	0.000278482	1.03E-07	0.020194024	0.076924642	0.005217102	0.272277223	0.029850741	0.189781017	8.20E-10	3
7584	0.83272827	0.8402489	0.8253411	9.48E-06	0.000131998	6.62E-07	0.098849971	3.25E-06	0.000199264	5.18E-08	0.018392239	0.069384682	0.004828299	0.25903614	0.042424238	0.199999995	1.07E-09	2
7585	0.8241571	0.83506846	0.8135273	5.10E-06	7.37E-05	3.45E-07	0.027056404	2.86E-06	0.000150648	5.23E-08	0.012741824	0.057999741	0.002781595	0.190140841	0.021276592	0.191919188	8.45E-11	1
7586	0.8377017	0.85446537	0.821583	8.60E-06	0.000153655	4.65E-07	0.039662557	3.51E-06	0.000203923	5.99E-08	0.018902276	0.0720522	0.004954012	0.235294114	0.020905919	0.193236711	3.40E-10	2
7588	0.8149519	0.8095222	0.8204549	8.27E-06	0.000163267	4.15E-07	0.140674972	3.18E-06	0.000184107	5.48E-08	0.01597047	0.072707658	0.003492325	0.251815976	0.019464715	0.187725627	9.76E-11	2
7590	0.80885595	0.79604656	0.8220843	9.43E-06	0.000142665	6.22E-07	0.154330233	7.02E-06	0.000405517	1.21E-07	0.02349623	0.099718083	0.005451173	0.271264363	0.018475746	0.172413788	1.06E-09	3
