cand id	BLEU	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore_P	BERTScore_R	BERTScore_F1	bert_s+wms	bert_sms	bert_wms	elmo_s+wms	elmo_sms	elmo_wms	glove_s+wms	glove_sms	glove_wms	score
6595	0.041351943	0.228373699	0.027874561	0.157635464	0.8277633	0.8100589	0.81881547	0.00000285	0.000134395	6.22E-07	1.52E-06	0.000220742	1.86E-07	0.008124063	0.066770249	0.003344929	1
6596	0.108690829	0.283236989	0.017441856	0.210084029	0.84266186	0.8283338	0.8354364	0.00000313	0.000197858	6.53E-07	2.04E-06	0.000317201	2.45E-07	0.011593063	0.076821639	0.005187919	2
6597	0.135665342	0.290322576	0.027027022	0.162790693	0.8250334	0.8262253	0.8256289	0.00000438	0.000227543	8.51E-07	2.70E-06	0.000311554	3.11E-07	0.013086851	0.084292102	0.005588682	3
6598	0.000503365	0.149377591	0.025104601	0.127167628	0.85589504	0.80329025	0.8287587	0.00000448	0.000198568	9.13E-07	1.36E-06	0.000171602	1.73E-07	0.006921099	0.063922496	0.0027276	1
6599	0.096837112	0.272445816	0.031152643	0.219409278	0.8381957	0.8392968	0.8387459	0.00000885	0.000406039	1.72E-06	2.99E-06	0.000363619	3.41E-07	0.015596066	0.085268327	0.007227921	3
6600	0.10301159	0.253687311	0.011869432	0.157676344	0.844444	0.82744265	0.83585685	0.00000242	0.000144986	5.34E-07	1.56E-06	0.000253279	1.76E-07	0.009665425	0.068887137	0.004170618	3
6601	0.107717864	0.282208584	0.055555551	0.198275857	0.83376956	0.82564723	0.82968855	0.00000209	0.000117091	4.35E-07	1.52E-06	0.000179597	2.15E-07	0.011712398	0.070663571	0.005596976	2
6602	0.034635487	0.232394362	0.014184393	0.179999996	0.8330173	0.8068641	0.8197321	0.000003	0.000141407	7.94E-07	1.27E-06	0.000233973	1.43E-07	0.00842525	0.075624067	0.003364243	1
6603	0.026008341	0.223021579	0.021739127	0.181818178	0.849422	0.81811446	0.8334743	0.00000217	0.000155811	4.71E-07	1.21E-06	0.000183509	1.70E-07	0.010893921	0.07494607	0.005191381	1
6604	0.005447452	0.187499997	0.039370076	0.204301072	0.8705312	0.8189805	0.84396935	0.00000583	0.000189792	1.25E-06	2.07E-06	0.000210539	2.60E-07	0.009861601	0.066813261	0.004186203	2
6605	0.002618424	0.135458165	0.016064254	0.1420765	0.8552934	0.8111489	0.8326365	0.00000283	7.06E-05	6.60E-07	1.10E-06	8.66E-05	1.50E-07	0.009469453	0.054342216	0.004256443	1
6606	0.033554994	0.212014131	0.021352309	0.198019798	0.8543444	0.82097495	0.83732736	0.00000281	0.000135819	5.97E-07	2.04E-06	0.000196584	3.19E-07	0.010020242	0.06522809	0.004632306	2
6607	0.043234262	0.230508471	0.006825935	0.157635464	0.8428501	0.821039	0.83180153	0.00000281	0.000167019	5.52E-07	1.15E-06	0.000200552	1.25E-07	0.00939018	0.075681298	0.003788861	2
6608	0.025319543	0.184397159	0.028571425	0.176470584	0.8547926	0.81995577	0.8370118	0.00000299	0.000216574	4.60E-07	1.56E-06	0.000183249	1.96E-07	0.010669077	0.072550929	0.004591814	2
6609	0.03469419	0.208333329	0.020979017	0.148514848	0.81757003	0.81079453	0.8141682	0.00000353	0.000163311	8.73E-07	2.08E-06	0.000251433	2.35E-07	0.012101823	0.081455219	0.005018686	2
6610	0.006969928	0.177606175	0.023346301	0.159574465	0.85670114	0.813497	0.83454025	0.00000429	0.000165488	8.04E-07	1.72E-06	0.000246548	1.71E-07	0.008802199	0.073086907	0.003261675	1
6611	0.01205969	0.126394049	0.007490633	0.118279567	0.8476707	0.8058597	0.82623655	0.00000183	5.69E-05	4.02E-07	1.37E-06	0.0001401	1.76E-07	0.007590723	0.050805211	0.003255134	1
6612	0.002900424	0.167999997	0.01612903	0.10404624	0.8632563	0.80178154	0.83138406	0.0000027	0.000107484	5.25E-07	1.18E-06	0.000171695	1.27E-07	0.005837926	0.05794672	0.002078733	1
6613	0.012380506	0.172932328	0.015151512	0.147368418	0.85331404	0.8163807	0.8344389	0.00000426	0.000209706	8.33E-07	1.09E-06	0.000142945	1.39E-07	0.006065546	0.054688051	0.002403095	1
6614	0.000323211	0.074380163	0.008333331	0.068181816	0.8097048	0.7971315	0.8033689	0.000000777	9.97E-05	1.69E-07	1.02E-06	0.000243739	1.36E-07	0.003979863	0.046841585	0.001610341	1
6615	0.073553317	0.244372986	0.038834947	0.21428571	0.8400244	0.82027715	0.8300333	0.00000338	0.000163115	6.34E-07	1.37E-06	0.000182728	1.50E-07	0.009504933	0.077600239	0.003682134	3
6616	0.0002584	0.074688795	0.008368199	0.090395478	0.8188517	0.79434407	0.80641174	0.00000135	5.42E-05	2.69E-07	8.73E-07	0.000124744	9.77E-08	0.003871173	0.040918609	0.001365127	0
6617	0.110573767	0.330275225	0.043076919	0.228310498	0.85215014	0.82707083	0.83942324	0.00000287	0.000129251	6.46E-07	1.63E-06	0.000183299	2.36E-07	0.012443201	0.06817541	0.006054216	2
6618	0.022134155	0.192857139	0.007194241	0.164102561	0.8438551	0.81510764	0.8292323	0.00000302	0.000113726	5.55E-07	1.48E-06	0.000154416	1.66E-07	0.009582981	0.06751059	0.00378399	2
6619	0.133592037	0.268421048	0.015873011	0.208835337	0.8316541	0.82008445	0.82582873	0.00000268	0.000123993	5.17E-07	1.18E-06	0.000167402	1.33E-07	0.008422755	0.063781542	0.003439051	3
6620	0.010428718	0.118081177	0.014869885	0.101522839	0.808919	0.79566795	0.80223876	0.00000116	7.80E-05	2.61E-07	1.11E-06	0.000232417	1.32E-07	0.008065774	0.070484608	0.00337588	1
6621	0.023565314	0.179211466	0.028880863	0.157635464	0.8086987	0.80970734	0.80920273	0.0000017	0.00016442	5.28E-07	1.77E-06	0.000444379	1.68E-07	0.008920615	0.093085969	0.003275562	1
6622	0.014719667	0.156133826	0.029962544	0.104712039	0.85563636	0.8164634	0.83559096	0.00000458	0.000217944	8.79E-07	1.47E-06	0.00022764	1.62E-07	0.006782625	0.058716942	0.002638833	1
6623	0.151957532	0.313513509	0.043478256	0.230158725	0.84322673	0.8361524	0.83967465	0.0000051	0.000240664	9.40E-07	2.82E-06	0.000282972	3.45E-07	0.013284106	0.073314487	0.006043778	2
6624	0.041150828	0.168831165	0.013071891	0.15178571	0.81750894	0.8116854	0.81458676	0.00000196	0.000127052	4.20E-07	1.13E-06	0.00021168	1.26E-07	0.006579682	0.064770295	0.002470846	1
6625	0.043686889	0.245733784	0.020618553	0.200956934	0.8543447	0.81925935	0.8364343	0.00000177	9.67E-05	2.88E-07	1.29E-06	0.000166308	1.39E-07	0.009294373	0.067791771	0.003733126	2
6626	0.04410311	0.238095234	0.027397256	0.194174753	0.8493485	0.82099366	0.83493036	0.00000229	0.000101312	4.59E-07	1.89E-06	0.000226917	2.18E-07	0.011228418	0.069665331	0.004927355	2
6627	0.106518987	0.296511623	0.029239761	0.19008264	0.8211885	0.83176744	0.8264441	0.00000461	0.000249963	1.16E-06	1.88E-06	0.000334493	2.54E-07	0.00866197	0.07841705	0.00378246	2
6628	0.004348875	0.149019605	0.015810274	0.151351348	0.8760235	0.81985444	0.84700876	0.00000327	0.000174473	5.87E-07	9.27E-07	0.000131598	1.07E-07	0.008997725	0.067038964	0.003748201	1
6629	0.021775244	0.204379559	0.029411761	0.180904519	0.8493525	0.8173669	0.8330527	0.00000353	0.00014779	6.13E-07	2.06E-06	0.000211995	2.29E-07	0.01202288	0.072432486	0.005126967	1
6630	0.001091646	0.087999997	0	0.097826084	0.8152708	0.7965482	0.8058007	0.00000146	5.40E-05	3.07E-07	4.88E-07	6.69E-05	5.71E-08	0.004782447	0.044402605	0.001806816	1
6631	0.093816326	0.232142853	0.011976043	0.140969159	0.83886796	0.817883	0.8282426	0.00000386	0.000127359	8.10E-07	2.00E-06	0.000157665	2.79E-07	0.009487115	0.057755579	0.004185798	2
6632	0.03524324	0.186851207	0.034843202	0.154589368	0.8161717	0.8070383	0.8115793	0.00000151	5.50E-05	3.53E-07	1.35E-06	0.000104168	2.10E-07	0.010734922	0.051548367	0.005471435	2
6633	0.165005512	0.308080803	0.030456848	0.22058823	0.8317796	0.82881975	0.83029705	0.0000031	0.000172838	6.15E-07	2.04E-06	0.000256498	2.61E-07	0.010333913	0.07063849	0.004512028	3
6634	0.024587933	0.216606495	0.014545451	0.182741113	0.84327614	0.8101389	0.8263755	0.00000202	6.50E-05	5.06E-07	1.43E-06	0.000127158	2.37E-07	0.006678155	0.036402078	0.003419823	1
6635	0.060304316	0.244224418	0.019933551	0.182741113	0.86193365	0.8207682	0.8408474	0.00000332	0.000134692	6.72E-07	1.79E-06	0.000177074	2.40E-07	0.0113506	0.064372013	0.005269534	2
6636	0.160352841	0.309782604	0.049180323	0.190476186	0.840637	0.8427975	0.84171593	0.00000826	0.000446942	1.94E-06	4.21E-06	0.0004961	5.31E-07	0.013642398	0.090200055	0.006070396	3
6637	0.162600441	0.312997343	0.053333328	0.213114749	0.8370029	0.83686924	0.83693606	0.00000944	0.000481463	2.00E-06	3.73E-06	0.000423776	4.67E-07	0.019097095	0.101811331	0.009184141	3
6638	0.063008789	0.22435897	0.025806447	0.155963298	0.8223243	0.8089806	0.8155979	0.00000297	0.00013244	5.82E-07	1.26E-06	0.00018636	1.43E-07	0.006409024	0.058940275	0.002439877	2
6639	0.07288929	0.282051278	0.03225806	0.239631332	0.8396922	0.823519	0.831527	0.00000322	0.000181333	7.05E-07	1.67E-06	0.000235145	2.25E-07	0.011149812	0.071221783	0.005201282	2
6640	0.024566109	0.192170815	0.028673831	0.189054723	0.8541721	0.81565297	0.83446825	0.00000242	0.000104063	5.12E-07	1.23E-06	0.000134023	1.70E-07	0.010179198	0.065218651	0.004621618	1
6641	0.015585752	0.120996438	0	0.109999996	0.8196201	0.80098796	0.8101969	0.00000108	0.000106865	1.69E-07	9.55E-07	0.000179352	9.80E-08	0.007424802	0.059606487	0.002965261	1
6642	0.029889718	0.178694154	0.006920411	0.162679422	0.8345048	0.813595	0.82391727	0.00000123	7.27E-05	2.31E-07	1.17E-06	0.000168259	1.46E-07	0.006823564	0.051387679	0.002919993	1
6643	0.136479428	0.313725485	0.033802812	0.202429145	0.84252286	0.83210284	0.83728045	0.00000582	0.000257205	1.15E-06	1.93E-06	0.00022179	2.41E-07	0.010244736	0.072092203	0.004373045	2
6644	0.044891113	0.22372881	0.02730375	0.156862741	0.8291688	0.8195725	0.8243427	0.00000374	0.000140577	8.05E-07	1.43E-06	0.00020498	1.60E-07	0.007759502	0.059762802	0.00307983	1
6645	0.146293003	0.301075264	0.037837833	0.205533592	0.83705014	0.82848054	0.83274335	0.00000666	0.000251793	1.35E-06	2.63E-06	0.000265943	3.35E-07	0.014085633	0.081418775	0.006427239	3
6646	0.114261876	0.26086956	0.005464476	0.200743489	0.83226794	0.8240255	0.82812625	0.00000257	0.000129314	4.65E-07	1.45E-06	0.000216234	1.52E-07	0.010249388	0.071249263	0.004269519	3
6647	0.009268523	0.134831457	0	0.064864862	0.7876686	0.79189414	0.7897757	0.00000112	4.77E-05	2.35E-07	8.80E-07	0.000113104	1.07E-07	0.004364701	0.040131286	0.001646131	1
6648	0.063018774	0.2173913	0.012499996	0.170212761	0.82452637	0.8243213	0.82442385	0.00000303	0.000200843	6.33E-07	2.01E-06	0.000315522	2.14E-07	0.009334145	0.077218592	0.00364901	2
6649	0.00049894	0.090534977	0.016597508	0.102272725	0.8228841	0.7985609	0.81054014	0.00000341	0.000138464	7.78E-07	6.74E-07	0.000108618	8.88E-08	0.005041251	0.054240515	0.002023782	1
6650	0.026165169	0.159169546	0.006968637	0.152380948	0.8152373	0.80149937	0.80831	0.0000026	0.000113021	5.21E-07	1.19E-06	0.000144035	1.52E-07	0.007048074	0.062842109	0.002696694	1
6651	0.151189006	0.302872058	0.041994746	0.200803208	0.8457596	0.8286975	0.83714163	0.00000472	0.000228111	1.06E-06	1.97E-06	0.000285096	2.35E-07	0.010643553	0.078486705	0.0045003	3
6652	0.144729833	0.326530608	0.041055714	0.235807856	0.8703998	0.8426294	0.8562895	0.00000775	0.000204013	1.67E-06	3.06E-06	0.000196035	4.28E-07	0.016633717	0.068937922	0.008314824	1
6653	0.086433923	0.225519283	0.011940294	0.135746602	0.8296026	0.8236631	0.8266222	0.00000367	0.000211616	7.92E-07	1.82E-06	0.000274129	2.19E-07	0.008605638	0.073574535	0.003470671	1
6654	0.144214281	0.333333329	0.033519548	0.223140491	0.82655317	0.82404006	0.8252947	0.00000571	0.000218607	1.23E-06	3.21E-06	0.000334218	4.15E-07	0.01198268	0.079512386	0.005148045	1
6655	0.128967016	0.273901804	0.025974021	0.218749995	0.8314034	0.82279515	0.82707685	0.00000183	0.000113594	3.71E-07	1.40E-06	0.000193557	1.97E-07	0.009321393	0.062602813	0.004300421	3
6656	0.023011619	0.177304961	0.021428568	0.160804016	0.8342554	0.80852395	0.82118815	0.00000148	5.91E-05	3.43E-07	9.76E-07	9.35E-05	1.59E-07	0.00684024	0.047099658	0.003185029	0
6657	0.169577542	0.329999995	0.025125623	0.216216211	0.84216714	0.83485836	0.83849674	0.00000574	0.00030071	1.18E-06	2.35E-06	0.000302692	2.93E-07	0.013662403	0.086658883	0.006194842	3
6658	0.048087632	0.184818478	0.006644514	0.138888885	0.84337276	0.81695586	0.8299542	0.00000357	0.000129749	7.82E-07	1.37E-06	0.000161842	1.84E-07	0.005653093	0.054439527	0.002186046	2
6659	0.097667927	0.304347822	0.024999996	0.181818177	0.854348	0.82970303	0.8418452	0.00000498	0.000226768	9.07E-07	2.01E-06	0.000294417	2.10E-07	0.011484261	0.077382489	0.004836998	2
6660	0.177618022	0.297362105	0.043373489	0.213058414	0.8275345	0.83842564	0.8329445	0.00000444	0.000188867	9.67E-07	2.73E-06	0.000320281	3.30E-07	0.01322901	0.079586923	0.005948024	1
