cand id	bleu	R1f	R1p	R1r	R2f	R2p	R2r	RLf	RLp	RLr	glove_wms	glove_sms	glove_s+wms	elmo_wms	elmo_sms	elmo_s+wms	bert_wms	bert_sms	bert_s+wms	bertscore-p	bertscore-r	bertscore-f1	SentBERT	score
410	0.013589921	0.210526311	0.235294118	0.19047619	0.027027022	0.03030303	0.024390244	0.208955219	0.225806452	0.194444444	0.004230363	0.076472039	0.01798622	4.30E-08	0.000170191	2.71E-06	5.41E-07	0.000131648	8.44E-06	0.87156075	0.8617668	0.8666361	6.43E-11	-0.5
411	0.00737665	0.340425527	0.258064516	0.5	0.086956517	0.06557377	0.129032258	0.32098765	0.254901961	0.433333333	0.008579039	0.045790288	0.019836552	4.74E-08	9.02E-05	2.07E-06	1.78E-07	5.73E-05	3.20E-06	0.85914004	0.8864419	0.8725775	1.81E-10	0
412	0	0.249999995	0.256410256	0.243902439	0.153846149	0.157894737	0.15	0.298507458	0.303030303	0.294117647	0.010850757	0.079187933	0.030878151	1.19E-07	0.000347465	6.44E-06	3.06E-06	0.000732979	4.74E-05	0.8685161	0.86689353	0.86770403	2.08E-08	0
413	0.011225952	0.267857138	0.365853659	0.211267606	0.090909086	0.125	0.071428571	0.278481009	0.578947368	0.183333333	0.004422585	0.100196432	0.021050599	2.63E-08	0.000126476	1.82E-06	2.22E-06	0.000647189	3.79E-05	0.8740783	0.80559516	0.83844066	1.52E-09	0
414	0	0.276923072	0.225	0.36	0.093749995	0.075949367	0.12244898	0.280373827	0.238095238	0.340909091	0.005491742	0.060816895	0.018275404	3.68E-08	0.000157378	2.41E-06	6.43E-07	0.000185435	1.09E-05	0.85704154	0.8813317	0.8690168	1.36E-10	1
415	0	0.214285709	0.219512195	0.209302326	0.024390239	0.025	0.023809524	0.215384611	0.269230769	0.179487179	0.003171963	0.062168126	0.014042612	1.88E-08	7.29E-05	1.17E-06	3.99E-07	0.000215016	9.27E-06	0.8320174	0.846325	0.83911026	1.02E-11	0
416	0.012863069	0.666666662	0.633802817	0.703125	0.496240597	0.471428571	0.523809524	0.666666662	0.627118644	0.711538462	0.119499761	0.155333542	0.136243618	2.46E-05	0.001405531	0.000187658	0.000267485	0.004407515	0.001112341	0.9194185	0.9308647	0.9251062	1.98E-07	0.5
417	0.010476765	0.276729555	0.252873563	0.305555556	0.08917197	0.081395349	0.098591549	0.242424237	0.235294118	0.25	0.008222281	0.083321709	0.026174307	7.42E-08	0.000350035	5.10E-06	6.42E-07	0.000215417	1.18E-05	0.846897	0.84112483	0.844001	3.12E-10	0
418	0.006819881	0.335403722	0.391304348	0.293478261	0.025157228	0.029411765	0.021978022	0.267716531	0.303571429	0.23943662	0.008862901	0.125036989	0.033289499	5.50E-08	0.000431009	4.87E-06	2.14E-06	0.001469605	5.60E-05	0.86988425	0.85347015	0.8615991	1.54E-09	0
419	0.019573244	0.518518514	0.4	0.736842105	0.339622637	0.260869565	0.486486486	0.505263153	0.4	0.685714286	0.021954282	0.162444316	0.059718919	4.05E-07	0.001424103	2.40E-05	2.89E-05	0.001659737	0.000219056	0.8806768	0.93796146	0.9084169	3.08E-08	1
