LP,SYSTEM,BERT_WMS,BERT_SMS,BERT_S+WMS,ELMO_S+WMS,ELMO_SMS,ELMO_WMS,GLOVE_S+WMS,GLOVE_SMS,GLOVE_WMS,HUMAN
tr-en,uedin.5709,0.012752986626840858,0.03306801893667257,0.015316640917567625,0.012698556035752703,0.03952536340263926,0.00931871379228378,0.2513991664989642,0.43481594357339026,0.15992337644538865,-0.053
zh-en,Li-Muze.5736,0.009581038888880334,0.028919773056467823,0.011734881198581655,0.009391488523709095,0.033648227936696806,0.0066512124540133236,0.24037937208965085,0.42802531074102496,0.1475900079127627,0.091
zh-en,NICT.5539,0.011128508747904697,0.03004405598364154,0.013155433910909406,0.010903239938103848,0.03440266927066942,0.00839712559691471,0.2364361419246769,0.4248539408831218,0.14413931043894235,0.089
zh-en,NiuTrans.5740,0.01170770952429467,0.03184601094941108,0.013895895958090517,0.011651056022186843,0.037047779508008194,0.008638869382953333,0.2470232723561263,0.4344726377041658,0.15348772491641638,0.14
zh-en,Tencent-ensemble-system.5742,0.013505976474960648,0.03469438309056572,0.015947720188077122,0.01250543836658286,0.038764162400311275,0.009356537000650204,0.2524155084166913,0.4377926016911031,0.15920170265634265,0.099
zh-en,UCAM.5586,0.011639954204274312,0.031740740338197175,0.013916454031004806,0.011776396185861909,0.03614870295588204,0.008972056843263502,0.24300340631488854,0.4301135078796252,0.15034531060343392,0.109
zh-en,UMD.5681,0.01110785465326798,0.02895113433881351,0.013018489486852238,0.010327245530718995,0.032015307972546383,0.008054474764861581,0.22674380966385632,0.4162629316582492,0.1360684761676913,0.078
zh-en,Unisound.5668,0.012823538920254304,0.033479616807618046,0.015038632642382315,0.012241685172163553,0.03720131121506221,0.00935853760177019,0.24787217541137735,0.4326471618706873,0.15543428024617678,0.094
zh-en,Unisound.5712,0.013852507456967655,0.0344142254170215,0.01597606541624251,0.012165198201498318,0.03786911294283236,0.009174070881013319,0.2524734477799314,0.4380617632708123,0.15891451306661433,0.108
zh-en,online-A.0,0.008838915801368205,0.02440163092298211,0.010385855743673277,0.007972972396423899,0.026797900547050994,0.006129237393708933,0.21506189552823332,0.4049409556178187,0.1263059259098644,-0.061
zh-en,online-B.0,0.018783151733497965,0.040248779829468465,0.021348213780459296,0.01678690399635132,0.04076718914506944,0.013562201650330365,0.250467388868672,0.4285789803173965,0.1612584356699926,0.111
zh-en,online-F.0,0.0031268980792047854,0.007715181567582712,0.0034586035014293314,0.0028035033013802434,0.010810965919040846,0.0023802560718699287,0.1440453220032165,0.3479056765633768,0.06682692115705506,-0.377
zh-en,online-G.0,0.004372621204406681,0.010780721440535103,0.0048233127368429544,0.003685967906146172,0.012256090711544503,0.0032494626255317603,0.17147230630422902,0.3636468862843141,0.08906968026068947,-0.327
zh-en,online-Y.0,0.008968930265072438,0.026625093999219092,0.010840192698528012,0.008150283405131409,0.027796815545104773,0.00625124365013293,0.2194831464587746,0.4091889978209368,0.12933728250603777,-0.005
zh-en,uedin.5652,0.00954389670562889,0.027103114594163234,0.011351462961351366,0.009309932443761848,0.031088554748987477,0.007083213829828265,0.2188078454164192,0.40990056938305747,0.1290832691709044,-0.017
