cand id	similarity score	R score	P score	score
326	0.8611691	0.85425264	0.8681984	0.5
327	0.84005696	0.84932214	0.8309918	-0.5
328	0.8997043	0.90608937	0.89340854	0.0
329	0.88019717	0.87310946	0.8874009	0.5
330	0.8402455	0.8361238	0.84440804	0.0
331	0.8227503	0.7977968	0.84931517	0.5
332	0.84909564	0.8450773	0.85315245	0.0
333	0.84962595	0.85031843	0.84893465	0.0
334	0.8777857	0.8674109	0.88841176	0.0
335	0.8296136	0.8572762	0.8036806	0.0
336	0.8478511	0.81871	0.8791432	0.0
337	0.86383617	0.8590034	0.86872363	0.0
338	0.8637089	0.88371074	0.84459245	0.5
339	0.842275	0.82695293	0.8581755	-0.5
340	0.8523472	0.86714524	0.8380457	0.5
341	0.8682762	0.86763465	0.8689186	1.0
342	0.84664524	0.8649127	0.8291335	0.0
343	0.8457329	0.8449139	0.84655344	0.0
344	0.8412598	0.8208512	0.86270905	0.0
345	0.85655975	0.87119687	0.8424064	1.0
346	0.84754246	0.8570124	0.8382795	0.0
347	0.8725404	0.8813895	0.8638672	-0.5
348	0.84469724	0.8458104	0.84358704	0.0
349	0.85906225	0.85915905	0.85896546	1.0
350	0.8825225	0.8937075	0.871614	0.0
351	0.9035318	0.9183292	0.8892037	0.5
352	0.86290413	0.87383795	0.85224056	0.0
353	0.835367	0.8324997	0.8382541	-0.5
354	0.8548775	0.8451136	0.8648696	0.0
355	0.83609194	0.82852	0.84380364	-0.5
356	0.82973677	0.817009	0.8428675	0.0
357	0.851215	0.8625959	0.84013045	-1.0
358	0.9031606	0.9194703	0.8874193	1.0
359	0.8568926	0.8455258	0.86856914	-0.5
360	0.85508835	0.87469435	0.836342	0.0
361	0.8596351	0.85953677	0.85973346	0.0
362	0.86183035	0.87834483	0.8459254	1.0
363	0.8170557	0.8158416	0.8182734	-1.0
364	0.8887101	0.89282054	0.88463736	0.5
365	0.89039	0.8880849	0.89270705	-0.5
366	0.86128086	0.87577313	0.84726036	0.0
367	0.8641178	0.8627976	0.86544204	0.5
368	0.86428833	0.8570899	0.87160873	0.0
369	0.834082	0.85513496	0.81404066	0.5
370	0.884724	0.89623415	0.8735058	-0.5
371	0.8759432	0.8701848	0.88177824	0.0
372	0.8361973	0.8346324	0.8377682	-0.5
373	0.8754182	0.8777622	0.87308663	1.0
374	0.87004036	0.8737484	0.86636364	1.0
375	0.8397579	0.83973783	0.839778	0.0
376	0.8375842	0.8425794	0.8326478	0.5
377	0.8240133	0.8240705	0.823956	0.5
378	0.8848097	0.896147	0.8737555	0.5
379	0.8187379	0.8147018	0.8228144	0.5
380	0.8769635	0.8824633	0.8715317	1.0
381	0.83836675	0.81981444	0.8577781	0.0
382	0.82838553	0.8385956	0.81842095	-0.5
383	0.8890755	0.8922539	0.88591975	1.0
384	0.8461898	0.83846676	0.8540565	0.0
385	0.8526377	0.8726893	0.8334868	0.5
386	0.8897445	0.88828135	0.89121246	0.5
387	0.90398854	0.8898306	0.9186044	0.0
388	0.8814938	0.8756239	0.88744307	1.0
389	0.86314154	0.8698243	0.85656077	1.0
390	0.8765712	0.87132883	0.88187706	1.0
391	0.8819957	0.8839054	0.8800942	0.0
392	0.8696758	0.8795941	0.85997885	0.0
393	0.8756111	0.85863805	0.8932688	-0.5
394	0.84366107	0.86123574	0.8267893	-0.5
395	0.8700718	0.8664984	0.87367487	0.0
396	0.8613038	0.85060644	0.87227356	-0.5
397	0.85448223	0.8525131	0.8564605	-0.5
398	0.8678372	0.86546063	0.87022686	0.0
399	0.909364	0.91811454	0.90077865	0.0
400	0.8939609	0.90006673	0.88793725	0.5
401	0.85161424	0.8505056	0.85272586	0.5
402	0.90152806	0.9085508	0.89461315	0.0
403	0.87574315	0.8747602	0.87672836	0.0
404	0.8986457	0.90071934	0.89658153	0.0
405	0.86271673	0.87015975	0.85539997	0.0
406	0.89299047	0.8976803	0.88834935	0.0
407	0.85124576	0.8654843	0.8374681	1.0
408	0.867341	0.87127894	0.8634384	0.0
409	0.86565155	0.8640832	0.8672256	0.5
410	0.8666361	0.8617668	0.87156075	-0.5
411	0.8725775	0.8864419	0.85914004	0.0
412	0.86770403	0.86689353	0.8685161	0.0
413	0.83844066	0.80559516	0.8740783	0.0
414	0.8690168	0.8813317	0.85704154	1.0
415	0.83911026	0.846325	0.8320174	0.0
416	0.9251062	0.9308647	0.9194185	0.5
417	0.844001	0.84112483	0.846897	0.0
418	0.8615991	0.85347015	0.86988425	0.0
419	0.9084169	0.93796146	0.8806768	1.0
420	0.866273	0.88109124	0.8519449	0.0
421	0.8605996	0.877464	0.84437114	0.5
422	0.8435179	0.83991086	0.847156	-0.5
423	0.8972247	0.8998393	0.8946253	1.0
424	0.87100387	0.87618506	0.8658836	0.5
425	0.89488876	0.88982975	0.90000564	-0.5
426	0.8441717	0.84777534	0.8405985	0.5
427	0.8415969	0.8470864	0.83617806	0.0
428	0.8672851	0.85960513	0.8751036	1.0
429	0.8925874	0.8800388	0.90549904	0.5
430	0.8777011	0.8899057	0.8658267	0.5
431	0.905471	0.9254487	0.8863375	1.0
432	0.8705212	0.8771522	0.8639897	1.0
433	0.8743914	0.87126243	0.87754285	1.0
434	0.84708714	0.85249025	0.8417522	0.5
435	0.84905714	0.87016124	0.82895255	1.0
436	0.84948874	0.8450176	0.85400736	0.5
437	0.86089194	0.8703951	0.8515939	0.5
438	0.8633149	0.879794	0.8474419	0.0
439	0.850466	0.84825844	0.85268515	0.0
440	0.81998503	0.8183156	0.82166135	0.0
441	0.8984315	0.91738284	0.88024735	0.0
442	0.8490159	0.87609607	0.8235595	0.0
443	0.8737712	0.9241434	0.82860637	0.0
444	0.8360331	0.84591115	0.8263831	-1.0
445	0.88187563	0.90588105	0.8591097	0.0
446	0.8556396	0.87472266	0.83737135	-1.0
447	0.8525348	0.8325825	0.87346685	-0.5
448	0.85836464	0.88938504	0.8294352	-1.0
449	0.8257493	0.81115156	0.8408821	-1.0
450	0.85023713	0.8780119	0.8241657	-0.5
451	0.83935255	0.8456621	0.8331364	0.5
452	0.81703615	0.8036343	0.8308925	-1.0
453	0.8502048	0.85395926	0.8464833	-0.5
454	0.851934	0.85040677	0.8534667	1.0
455	0.8413303	0.8394237	0.8432456	-0.5
456	0.898624	0.9100046	0.8875244	0.0
457	0.85968447	0.8446405	0.8752741	0.5
458	0.82473195	0.85442466	0.7970337	0.0
459	0.8283938	0.8266381	0.8301569	0.0
460	0.88629484	0.90977937	0.86399233	0.0
461	0.86415434	0.8638407	0.8644682	1.0
462	0.85603213	0.8728073	0.8398895	0.5
463	0.8507918	0.84773874	0.85386693	0.0
464	0.8458335	0.87352353	0.819845	0.0
465	0.87292403	0.87742877	0.86846524	0.5
466	0.8138184	0.80529904	0.82251984	-0.5
467	0.85060596	0.8790122	0.8239781	1.0
468	0.8286743	0.8464166	0.81166065	-0.5
469	0.8795806	0.87610346	0.8830855	1.0
470	0.8577829	0.8754015	0.8408595	0.5
471	0.89241296	0.90973854	0.8757349	0.5
472	0.8971468	0.9123033	0.8824857	1.0
473	0.8715813	0.8859656	0.8576567	0.0
474	0.84755206	0.81739986	0.88001394	0.0
475	0.84587556	0.85838246	0.83372784	-0.5
476	0.88685703	0.8777234	0.8961827	0.0
477	0.8851231	0.884133	0.88611543	0.0
478	0.8760615	0.874646	0.8774815	0.0
479	0.86273265	0.8822721	0.84404	0.5
480	0.84270805	0.83606863	0.84945375	0.5
481	0.88926375	0.89545465	0.8831579	1.0
482	0.8523974	0.8438977	0.8610699	-1.0
483	0.8985572	0.9234202	0.8749979	-0.5
484	0.8487768	0.85800517	0.8397449	0.5
485	0.8399137	0.82159317	0.85907006	0.5
486	0.87493503	0.8645227	0.8856012	0.0
487	0.86400425	0.8905961	0.8389544	0.0
488	0.86811006	0.89808744	0.8400693	0.0
489	0.84037393	0.8328646	0.84801984	0.0
490	0.8549181	0.8568601	0.85298496	0.5
491	0.8927779	0.8912352	0.894326	0.0
492	0.877217	0.8847166	0.86984354	1.0
493	0.8351939	0.8340714	0.8363193	-0.5
494	0.8899251	0.89318067	0.88669336	-0.5
495	0.8694389	0.87178665	0.8671036	0.0
496	0.8671502	0.8632661	0.8710693	0.0
497	0.8737792	0.87931836	0.8683094	0.5
498	0.8391865	0.83998764	0.8383869	0.0
499	0.86386126	0.88619566	0.84262496	0.5
500	0.853238	0.8641021	0.8426436	0.0
501	0.8522752	0.85938686	0.84528023	-0.5
502	0.87876886	0.8842981	0.8733084	0.5
503	0.8827438	0.8792947	0.88622004	0.0
504	0.9055644	0.9172699	0.894154	0.0
505	0.886659	0.87865865	0.8948064	0.0
506	0.8815491	0.8788673	0.8842473	0.5
507	0.90824646	0.92094743	0.8958911	0.0
508	0.9038062	0.9009993	0.9066306	0.0
509	0.85746515	0.85892	0.8560152	0.0
510	0.8593489	0.86816776	0.8507074	1.0
511	0.84436625	0.8451188	0.84361506	0.5
